Agnostig
Mwslim Ahmadi/Moslem Ahmadi
Alevi
Anglicaniad
Anffyddiwr/Anffyddwraig
Bahai
Bedyddiwr/Bedyddwraig
Cristion Ailanedig
Bwdhydd
Catholig/Pabydd/Pabyddes
Capel
Cristadelffiad
Cristion
Cristion Uniongred
Eglwys yng Nghymru
Eglwys Crist
Eglwys Loegr
Eglwys Duw
Eglwys yr Alban
Coptig Uniongred
Dëist
Derwydd
Efengylaidd
Gnostig
Uniongred Groegaidd
Hare Krishna
Hindŵ
Holistaidd
Annibynnol
Jain
Tyst Jehovah
Iddewig
Kirat
Saint y Dyddiau Diwethaf
Lutheriad
Methodist
Mormon
Mwslim/Moslem
Dim Crefydd
Pagan
Pantheist
Pentecostiad
Presbyteriad
Protestant
Crynwr/Crynwraig
Rastaffariad
Ravidassia
Catholig Eglwys Rufain/Pabydd Eglwys Rufain/Pabyddes Eglwys Rufain
Uniongred Rwsiaidd
Byddin yr Iachawdwriaeth
Satanydd
Seientoleg
Uniongred Serbaidd
Adfentydd y Seithfed Dydd
Shinto
Sikh
Ysbrydol
Ysbrydegydd
Taöydd
Theistiad
Undodwr
Bedyddiwr Cymreig/Bedyddwraig Gymreig
Wiccan
Yazidi
Zoroastriad
