Agnostic
Ahmadi Muslim
Alevi
Anglican
Atheist
Bahai
Baptist
Born Again Christian
Buddhist
Catholic
Chapel
Christadelphian
Christian
Christian Orthodox
Church in Wales
Church of Christ
Church of England
Church of God
Church of Scotland
Coptic Orthodox
Deist
Druid
Evangelical
Gnostic
Greek Orthodox
Hare Krishna
Hindu
Holistic
Independent
Jain
Jehovah's Witness
Jewish
Kirat
Latter Day Saint
Lutheran
Methodist
Mormon
Muslim
No Religion
Pagan
Pantheist
Pentecostal
Presbyterian
Protestant
Quaker
Rastafarian
Ravidassia
Roman Catholic
Russian Orthodox
Salvation Army
Satanist
Scientology
Serbian Orthodox
Seventh Day Adventist
Shinto
Sikh
Spiritual
Spiritualist
Taoist
Theist
Unitarian
Welsh Baptist
Wiccan
Yazidi
Zoroastrian
